table_id,table_name,reg_id,reg_name,ind_id,ind_name,reg_date,val
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,2557.6000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,2849.0000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,3059.6000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,3722.3000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,3704.4000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,3731.5000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,3803.9000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,4191.6000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,4311.0000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,4513.0000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,4954.2000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,5929.9000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,5803.8000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,6897.7000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,6517.0000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,6975.6000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,7817.0000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,8949.3000
Table10,Социальные индикаторы,12,Архангельская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,7860.3000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1603.2000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,1969.4000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,2477.2000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,5479.4000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,4032.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,3545.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,2713.5000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,3374.1000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,5891.1000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,5069.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,4720.5000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,4305.2000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,4526.5000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,4239.2000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,3809.2000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,3755.9000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,3121.4000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,3017.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,2847.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,2299.7000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1765.8000
Table10,Социальные индикаторы,64,Астраханская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1459.3000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1382.3000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1493.2000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1618.5000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,1712.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,1819.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,2120.5000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,2299.0000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,2649.2000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,2783.8000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,2849.6000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,3065.2000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,3137.2000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,3361.4000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,3371.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,3607.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,3607.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,4015.8000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,4393.1000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,4724.9000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,4955.7000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,5279.3000
Table10,Социальные индикаторы,30,Белгородская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,5410.9000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1112.5000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1191.4000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1317.9000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2001-10-01T00:00:00,1372.1000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2002-01-01T00:00:00,1482.0000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2002-04-01T00:00:00,1556.6000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2002-07-01T00:00:00,1727.4000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2002-10-01T00:00:00,1792.0000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2003-01-01T00:00:00,2255.0000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2003-04-01T00:00:00,2505.1000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2003-07-01T00:00:00,2674.9000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2003-10-01T00:00:00,2739.2000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2004-01-01T00:00:00,2974.9000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2004-04-01T00:00:00,3192.2000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2004-07-01T00:00:00,3323.1000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2004-10-01T00:00:00,3407.1000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2005-01-01T00:00:00,3692.0000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2005-04-01T00:00:00,3828.0000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2005-07-01T00:00:00,4178.1000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2005-10-01T00:00:00,4353.5000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2006-01-01T00:00:00,4745.3000
Table10,Социальные индикаторы,46,Брянская область,73,Среднедушевой денежный доход населения (руб.),2006-04-01T00:00:00,4894.3000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2001-01-01T00:00:00,1246.4000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2001-04-01T00:00:00,1130.0000
Table10,Социальные индикаторы,5,Владимирская область,73,Среднедушевой денежный доход населения (руб.),2001-07-01T00:00:00,1186.9000
